iso3,nombre,en,confederacion,anfitrion,en_indice,elo_2026,rank_2026,elo_2025,elo_2024,elo_2023
ESP,"España",Spain,UEFA,no,si,2155,1,2172,2178,2033
ARG,"Argentina",Argentina,CONMEBOL,no,si,2114,2,2113,2108,2138
FRA,"Francia",France,UEFA,no,si,2062,3,2062,2055,2110
GBR,"Inglaterra",England,UEFA,no,si,2021,4,2042,2006,2015
BRA,"Brasil",Brazil,CONMEBOL,no,si,1991,5,1978,1996,2012
PRT,"Portugal",Portugal,UEFA,no,si,1986,6,1976,1993,2033
COL,"Colombia",Colombia,CONMEBOL,no,si,1977,7,1998,1977,1984
NLD,"Países Bajos",Netherlands,UEFA,no,si,1944,8,1959,1938,1970
ECU,"Ecuador",Ecuador,CONMEBOL,no,si,1935,9,1933,1909,1883
DEU,"Alemania",Germany,UEFA,no,si,1932,10,1910,1971,1886
NOR,"Noruega",Norway,UEFA,no,si,1917,11,1922,1806,1755
TUR,"Turquía",Turkey,UEFA,no,si,1911,12,1881,1774,1766
HRV,"Croacia",Croatia,UEFA,no,si,1908,13,1932,1886,1952
JPN,"Japón",Japan,AFC,no,si,1906,14,1878,1889,1904
BEL,"Bélgica",Belgium,UEFA,no,si,1893,15,1849,1850,1990
URY,"Uruguay",Uruguay,CONMEBOL,no,si,1892,16,1890,1948,2007
CHE,"Suiza",Switzerland,UEFA,no,si,1891,17,1897,1814,1792
MEX,"México",Mexico,CONCACAF,si,si,1875,18,1834,1769,1794
SEN,"Senegal",Senegal,CAF,no,si,1867,19,1807,1771,1731
PRY,"Paraguay",Paraguay,CONMEBOL,no,si,1833,22,1832,1774,1705
AUT,"Austria",Austria,UEFA,no,si,1830,23,1818,1871,1835
MAR,"Marruecos",Morocco,CAF,no,si,1824,24,1840,1802,1847
CAN,"Canadá",Canada,CONCACAF,si,si,1788,25,1802,1784,1706
AUS,"Australia",Australia,AFC,no,si,1777,28,1773,1718,1783
IRN,"Irán",Iran,AFC,no,si,1772,29,1755,1838,1826
DZA,"Argelia",Algeria,CAF,no,si,1760,32,1757,1685,1726
KOR,"Corea del Sur",Korea,AFC,no,si,1758,33,1784,1774,1798
CZE,"República Checa",Bohemia,UEFA,no,si,1740,35,1731,1753,1757
PAN,"Panamá",Panama,CONCACAF,no,si,1730,37,1742,1726,1766
USA,"Estados Unidos",United States,CONCACAF,si,si,1726,38,1747,1758,1776
UZB,"Uzbekistán",Uzbekistan,AFC,no,si,1718,40,1735,1684,1641
SWE,"Suecia",Sweden,UEFA,no,si,1712,42,1660,1744,1692
EGY,"Egipto",Egypt,CAF,no,si,1696,48,1623,1657,1686
CIV,"Costa de Marfil",Ivory Coast,CAF,no,si,1695,49,1627,1579,1644
JOR,"Jordania",Jordan,AFC,no,si,1685,50,1689,1617,1503
COD,"RD del Congo",Belgian Congo,CAF,no,si,1661,54,1657,1540,1500
TUN,"Túnez",Tunisia,CAF,no,si,1628,59,1615,1598,1740
IRQ,"Irak",Iraq,AFC,no,si,1618,60,1582,1584,1620
BIH,"Bosnia y Herzegovina",Bosnia and Herzegovina,UEFA,no,si,1595,65,1572,1485,1485
CPV,"Cabo Verde",Cape Verde,CAF,no,si,1578,68,1561,1472,1482
SAU,"Arabia Saudí",Saudi Arabia,AFC,no,si,1569,70,1592,1536,1585
NZL,"Nueva Zelanda",New Zealand,OFC,no,si,1562,72,1585,1583,1526
HTI,"Haití",Haiti,CONCACAF,no,si,1548,73,1542,1538,1497
ZAF,"Sudáfrica",South Africa,CAF,no,si,1528,77,1551,1576,1490
GHA,"Ghana",Gold Coast,CAF,no,si,1510,81,1509,1429,1551
QAT,"Catar",Qatar,AFC,no,si,1421,97,1425,1524,1535
CUW,"Curaçao",,CONCACAF,no,no,,,,,
SCO,"Escocia",,UEFA,no,no,,,,,
